signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
scanner:CSCO:volume_spike:2026-08-10,scanner,CSCO,volume_spike,2026-08-10,US,1,-1.7459,-0.3195,-1.4264
pead:BRK-B:entry:2026-08-10,pead,BRK-B,entry,2026-08-10,US,1,-2.4631,-0.3195,-2.1435
pead:YUBICO.ST:entry:2026-08-10,pead,YUBICO.ST,entry,2026-08-10,SE,1,7.6266,-0.2593,7.8859
exits:ACAST.ST:ma50_break:2026-08-10,exits,ACAST.ST,ma50_break,2026-08-10,SE,1,-0.277,-0.2593,-0.0177
exits:ACCON.ST:ma50_break:2026-08-10,exits,ACCON.ST,ma50_break,2026-08-10,SE,1,1.4168,-0.2593,1.676
exits:AMD:ma50_break:2026-08-10,exits,AMD,ma50_break,2026-08-10,US,1,1.0137,-0.3195,1.3332
exits:CAT:ma50_break:2026-08-10,exits,CAT,ma50_break,2026-08-10,US,1,0.6913,-0.3195,1.0108
exits:CHEF.ST:ma50_break:2026-08-10,exits,CHEF.ST,ma50_break,2026-08-10,SE,1,0.8104,-0.2593,1.0696
exits:GS:ma50_break:2026-08-10,exits,GS,ma50_break,2026-08-10,US,1,-0.0097,-0.3195,0.3099
exits:HTRO.ST:ma50_break:2026-08-10,exits,HTRO.ST,ma50_break,2026-08-10,SE,1,2.0513,-0.2593,2.3105
exits:INSTAL.ST:ma50_break:2026-08-10,exits,INSTAL.ST,ma50_break,2026-08-10,SE,1,0.2189,-0.2593,0.4782
exits:NOKIA-SEK.ST:ma50_break:2026-08-10,exits,NOKIA-SEK.ST,ma50_break,2026-08-10,SE,1,2.4285,-0.2593,2.6878
exits:SIVE.ST:ma50_break:2026-08-10,exits,SIVE.ST,ma50_break,2026-08-10,SE,1,-5.1095,-0.2593,-4.8502
exits:SOBI.ST:ma50_break:2026-08-10,exits,SOBI.ST,ma50_break,2026-08-10,SE,1,-1.9982,-0.2593,-1.739
exits:SPRINT.ST:ma50_break:2026-08-10,exits,SPRINT.ST,ma50_break,2026-08-10,SE,1,-2.3256,-0.2593,-2.0663
exits:TXN:ma50_break:2026-08-10,exits,TXN,ma50_break,2026-08-10,US,1,0.2853,-0.3195,0.6048
exits:UNH:ma50_break:2026-08-10,exits,UNH,ma50_break,2026-08-10,US,1,-1.6025,-0.3195,-1.283
scanner:SIVE.ST:big_move:2026-07-13,scanner,SIVE.ST,big_move,2026-07-13,SE,20,-0.6542,3.9224,-4.5766
scanner:MORROW.ST:volume_spike:2026-07-13,scanner,MORROW.ST,volume_spike,2026-07-13,SE,20,0.0,3.9224,-3.9224
pead:OEM-B.ST:entry:2026-07-13,pead,OEM-B.ST,entry,2026-07-13,SE,20,0.0,3.9224,-3.9224
breakout:OEM-B.ST:breakout:2026-07-13,breakout,OEM-B.ST,breakout,2026-07-13,SE,20,0.0,3.9224,-3.9224
scanner:NOKIA-SEK.ST:big_move:2026-08-05,scanner,NOKIA-SEK.ST,big_move,2026-08-05,SE,5,7.2417,-1.0683,8.3099
scanner:HTRO.ST:big_move:2026-08-05,scanner,HTRO.ST,big_move,2026-08-05,SE,5,1.6201,-1.0683,2.6884
scanner:SIVE.ST:big_move:2026-08-05,scanner,SIVE.ST,big_move,2026-08-05,SE,5,25.2061,-1.0683,26.2744
scanner:LUMI.ST:volume_spike:2026-08-05,scanner,LUMI.ST,volume_spike,2026-08-05,SE,5,-3.2749,-1.0683,-2.2067
