signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
scanner:SIVE.ST:big_move:2026-07-06,scanner,SIVE.ST,big_move,2026-07-06,SE,5,-8.3512,-2.1131,-6.2381
scanner:SIVE.ST:volume_spike:2026-07-06,scanner,SIVE.ST,volume_spike,2026-07-06,SE,5,-8.3512,-2.1131,-6.2381
scanner:ABB.ST:volume_spike:2026-07-06,scanner,ABB.ST,volume_spike,2026-07-06,SE,5,-3.9615,-2.1131,-1.8484
scanner:SPRINT.ST:big_move:2026-07-06,scanner,SPRINT.ST,big_move,2026-07-06,SE,5,3.5135,-2.1131,5.6266
scanner:AMD:big_move:2026-07-06,scanner,AMD,big_move,2026-07-06,US,5,-3.199,-0.2809,-2.9181
scanner:QCOM:big_move:2026-07-06,scanner,QCOM,big_move,2026-07-06,US,5,-1.3406,-0.2809,-1.0598
scanner:EPIS-B.ST:big_move:2026-07-06,scanner,EPIS-B.ST,big_move,2026-07-06,SE,5,-5.7353,-2.1131,-3.6222
scanner:SPRINT.ST:big_move:2026-07-07,scanner,SPRINT.ST,big_move,2026-07-07,SE,5,-1.0309,-1.3312,0.3002
scanner:NCAB.ST:big_move:2026-07-07,scanner,NCAB.ST,big_move,2026-07-07,SE,5,2.5956,-1.3312,3.9268
scanner:SIVE.ST:big_move:2026-07-07,scanner,SIVE.ST,big_move,2026-07-07,SE,5,2.9098,-1.3312,4.241
scanner:SPRINT.ST:volume_spike:2026-07-07,scanner,SPRINT.ST,volume_spike,2026-07-07,SE,5,-1.0309,-1.3312,0.3002
scanner:EPIS-B.ST:big_move:2026-07-07,scanner,EPIS-B.ST,big_move,2026-07-07,SE,5,-5.5385,-1.3312,-4.2073
scanner:SIVE.ST:volume_spike:2026-07-07,scanner,SIVE.ST,volume_spike,2026-07-07,SE,5,2.9098,-1.3312,4.241
scanner:AMD:big_move:2026-07-07,scanner,AMD,big_move,2026-07-07,US,5,6.2041,0.551,5.6531
scanner:NOKIA-SEK.ST:big_move:2026-07-07,scanner,NOKIA-SEK.ST,big_move,2026-07-07,SE,5,-1.4757,-1.3312,-0.1445
scanner:CAT:big_move:2026-07-07,scanner,CAT,big_move,2026-07-07,US,5,-0.7212,0.551,-1.2722
scanner:SIVE.ST:big_move:2026-07-13,scanner,SIVE.ST,big_move,2026-07-13,SE,1,-0.8411,-0.138,-0.7031
scanner:MORROW.ST:volume_spike:2026-07-13,scanner,MORROW.ST,volume_spike,2026-07-13,SE,1,0.5926,-0.138,0.7306
pead:OEM-B.ST:entry:2026-07-13,pead,OEM-B.ST,entry,2026-07-13,SE,1,2.7523,-0.138,2.8903
breakout:OEM-B.ST:breakout:2026-07-13,breakout,OEM-B.ST,breakout,2026-07-13,SE,1,2.7523,-0.138,2.8903
stocks:HTRO.ST:buy:2026-06-15,stocks,HTRO.ST,buy,2026-06-15,SE,20,-20.5575,0.9083,-21.4658
stocks:SINCH.ST:buy:2026-06-15,stocks,SINCH.ST,buy,2026-06-15,SE,20,4.7708,0.9083,3.8625
stocks:TOBII.ST:buy:2026-06-15,stocks,TOBII.ST,buy,2026-06-15,SE,20,-28.1915,0.9083,-29.0998
stocks:ABB.ST:buy:2026-06-15,stocks,ABB.ST,buy,2026-06-15,SE,20,4.1752,0.9083,3.2669
stocks:MYCR.ST:buy:2026-06-15,stocks,MYCR.ST,buy,2026-06-15,SE,20,7.4098,0.9083,6.5014
stocks:INSTAL.ST:buy:2026-06-15,stocks,INSTAL.ST,buy,2026-06-15,SE,20,-5.4385,0.9083,-6.3468
stocks:SSAB-A.ST:buy:2026-06-15,stocks,SSAB-A.ST,buy,2026-06-15,SE,20,-0.6938,0.9083,-1.6021
stocks:SAND.ST:buy:2026-06-15,stocks,SAND.ST,buy,2026-06-15,SE,20,0.6438,0.9083,-0.2645
stocks:BOL.ST:buy:2026-06-15,stocks,BOL.ST,buy,2026-06-15,SE,20,-6.9654,0.9083,-7.8737
stocks:ERIC-B.ST:buy:2026-06-15,stocks,ERIC-B.ST,buy,2026-06-15,SE,20,-13.9764,0.9083,-14.8848
stocks:AMD:buy:2026-06-15,stocks,AMD,buy,2026-06-15,US,20,-3.311,0.255,-3.566
